movie_id,title,genre,duration_min,avg_rating,year,pace,director,description
M038,Interstellar Evolution,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M039,The Matrix Evolution,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M040,Avatar Evolution,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M041,Gladiator Evolution,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M042,The Dark Knight Evolution,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M043,Toy Story Evolution,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M044,The Conjuring Evolution,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M045,La La Land Evolution,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M046,The Hangover Evolution,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M047,Seven Evolution,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M048,Spirited Away Evolution,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M049,Pulp Fiction Evolution,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M050,Titanic Evolution,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M051,Superbad Evolution,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M052,Get Out Evolution,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M053,Blade Runner 2049 Evolution,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M054,Parasite Evolution,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M055,Inception Legacy,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M056,Interstellar Legacy,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M057,The Matrix Legacy,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M058,Avatar Legacy,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M059,Gladiator Legacy,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M060,The Dark Knight Legacy,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M061,Toy Story Legacy,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M062,The Conjuring Legacy,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M063,La La Land Legacy,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M064,The Hangover Legacy,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M065,Seven Legacy,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M066,Spirited Away Legacy,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M067,Pulp Fiction Legacy,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M068,Titanic Legacy,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M069,Superbad Legacy,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M070,Get Out Legacy,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M071,Blade Runner 2049 Legacy,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M072,Parasite Legacy,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M073,Inception Reborn,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M074,Interstellar Reborn,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M075,The Matrix Reborn,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M076,Avatar Reborn,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M077,Gladiator Reborn,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M078,The Dark Knight Reborn,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M079,Toy Story Reborn,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M080,The Conjuring Reborn,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M082,The Hangover Reborn,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M083,Seven Reborn,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M084,Spirited Away Reborn,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M085,Pulp Fiction Reborn,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M086,Titanic Reborn,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M087,Superbad Reborn,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M088,Get Out Reborn,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M089,Blade Runner 2049 Reborn,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M090,Parasite Reborn,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M091,Inception The Sequel,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M092,Interstellar The Sequel,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M093,The Matrix The Sequel,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M094,Avatar The Sequel,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M095,Gladiator The Sequel,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M096,The Dark Knight The Sequel,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M097,Toy Story The Sequel,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M098,The Conjuring The Sequel,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M099,La La Land The Sequel,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M100,The Hangover The Sequel,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M101,Seven The Sequel,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M102,Spirited Away The Sequel,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M103,Pulp Fiction The Sequel,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M104,Titanic The Sequel,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M105,Superbad The Sequel,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M106,Get Out The Sequel,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M107,Blade Runner 2049 The Sequel,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M108,Parasite The Sequel,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M109,Inception Chapter II,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M110,Interstellar Chapter II,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M111,The Matrix Chapter II,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M112,Avatar Chapter II,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M113,Gladiator Chapter II,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M114,The Dark Knight Chapter II,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M115,Toy Story Chapter II,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M116,The Conjuring Chapter II,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M117,La La Land Chapter II,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M118,The Hangover Chapter II,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M119,Seven Chapter II,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M120,Spirited Away Chapter II,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M121,Pulp Fiction Chapter II,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M122,Titanic Chapter II,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M123,Superbad Chapter II,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M124,Get Out Chapter II,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M125,Blade Runner 2049 Chapter II,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M126,Parasite Chapter II,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M127,Inception Trilogy,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M128,Interstellar Trilogy,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M129,The Matrix Trilogy,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M130,Avatar Trilogy,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M131,Gladiator Trilogy,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M132,The Dark Knight Trilogy,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M133,Toy Story Trilogy,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M134,The Conjuring Trilogy,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M135,La La Land Trilogy,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M136,The Hangover Trilogy,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M137,Seven Trilogy,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M138,Spirited Away Trilogy,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M139,Pulp Fiction Trilogy,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M140,Titanic Trilogy,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M141,Superbad Trilogy,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M142,Get Out Trilogy,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M143,Blade Runner 2049 Trilogy,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M144,Parasite Trilogy,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M145,Inception Saga,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M146,Interstellar Saga,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M147,The Matrix Saga,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M148,Avatar Saga,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M149,Gladiator Saga,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M150,The Dark Knight Saga,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M151,Toy Story Saga,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M152,The Conjuring Saga,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M153,La La Land Saga,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M154,The Hangover Saga,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M155,Seven Saga,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M156,Spirited Away Saga,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M157,Pulp Fiction Saga,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M158,Titanic Saga,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M159,Superbad Saga,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M160,Get Out Saga,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M162,Parasite Saga,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M163,Inception Origins,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M164,Interstellar Origins,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M165,The Matrix Origins,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M166,Avatar Origins,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M167,Gladiator Origins,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M168,The Dark Knight Origins,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M169,Toy Story Origins,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M170,The Conjuring Origins,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M171,La La Land Origins,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M172,The Hangover Origins,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M173,Seven Origins,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M174,Spirited Away Origins,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M175,Pulp Fiction Origins,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M176,Titanic Origins,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M177,Superbad Origins,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M178,Get Out Origins,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M179,Blade Runner 2049 Origins,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M180,Parasite Origins,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M181,Inception Uncut,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M182,Interstellar Uncut,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M183,The Matrix Uncut,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M184,Avatar Uncut,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M185,Gladiator Uncut,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M186,The Dark Knight Uncut,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M187,Toy Story Uncut,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M188,The Conjuring Uncut,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M189,La La Land Uncut,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M190,The Hangover Uncut,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M191,Seven Uncut,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M192,Spirited Away Uncut,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M193,Pulp Fiction Uncut,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M194,Titanic Uncut,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M195,Superbad Uncut,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M196,Get Out Uncut,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M197,Blade Runner 2049 Uncut,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M198,Parasite Uncut,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M199,Inception Remastered,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M200,Interstellar Remastered,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M201,The Matrix Remastered,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M202,Avatar Remastered,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M203,Gladiator Remastered,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M204,The Dark Knight Remastered,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M205,Toy Story Remastered,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M206,The Conjuring Remastered,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M207,La La Land Remastered,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M208,The Hangover Remastered,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M209,Seven Remastered,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M210,Spirited Away Remastered,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M211,Pulp Fiction Remastered,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M212,Titanic Remastered,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M213,Superbad Remastered,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M214,Get Out Remastered,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M215,Blade Runner 2049 Remastered,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M216,Parasite Remastered,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M217,Inception Part I,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M218,Interstellar Part I,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M219,The Matrix Part I,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M220,Avatar Part I,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M221,Gladiator Part I,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M222,The Dark Knight Part I,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M223,Toy Story Part I,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M224,The Conjuring Part I,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M225,La La Land Part I,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M226,The Hangover Part I,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M227,Seven Part I,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M228,Spirited Away Part I,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M229,Pulp Fiction Part I,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M230,Titanic Part I,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M231,Superbad Part I,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M232,Get Out Part I,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M233,Blade Runner 2049 Part I,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M234,Parasite Part I,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M235,Inception Part II,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
